country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
Trinidad and Tobago, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Tunisia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Turkey, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Uganda, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Ukraine, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
United Arab Emirates, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
United Kingdom, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Uruguay, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
US, 1/22/2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-01-22
Uzbekistan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Venezuela, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Vietnam, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
West Bank and Gaza, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Zambia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Zimbabwe, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Afghanistan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Albania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Algeria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Andorra, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Angola, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Antigua and Barbuda, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Argentina, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Armenia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Australia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Austria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Azerbaijan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bahamas, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bahrain, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bangladesh, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Barbados, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Belarus, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Belgium, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Belize, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Benin, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bhutan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bolivia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bosnia and Herzegovina, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Brazil, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Brunei, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Bulgaria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Burkina Faso, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Burma, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Cabo Verde, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Cambodia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Cameroon, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Canada, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Central African Republic, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Chad, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Chile, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
